image_path,item_id,source_dataset,license,category,subcategory,brand,caption,split
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000001.jpg,deepfashion-59d35afc20527eef,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000002.jpg,deepfashion-ef6b1ec05aa85d09,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000003.jpg,deepfashion-e705411d201c5a71,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000004.jpg,deepfashion-7c2f476f74c3adb9,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000005.jpg,deepfashion-f74394e6fbcdeb1d,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000007.jpg,deepfashion-f6d3ad135070323e,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000008.jpg,deepfashion-052b1240fe832eb9,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000009.jpg,deepfashion-da0e2578585878c9,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000010.jpg,deepfashion-918f448695c8e7fa,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000011.jpg,deepfashion-69fd81d5e71724ed,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000012.jpg,deepfashion-363a30e814f1f3ab,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000013.jpg,deepfashion-a1efb98aab58a0f4,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000014.jpg,deepfashion-6c90997fb5eced49,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000015.jpg,deepfashion-bf73a738259c003f,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000016.jpg,deepfashion-71d9da46163e0727,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000017.jpg,deepfashion-c074f076ba297d61,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000018.jpg,deepfashion-290bd66caf6eedf8,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000019.jpg,deepfashion-ffe660b60df04928,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000020.jpg,deepfashion-03fcc830e412b449,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000021.jpg,deepfashion-71d5388ef1659ff7,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000022.jpg,deepfashion-f74a148d83a71a54,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000023.jpg,deepfashion-dc1ced88835ff9c4,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000024.jpg,deepfashion-7e46cc8b6b1df08b,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000025.jpg,deepfashion-f9e79f693e74f354,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000026.jpg,deepfashion-aa001b96d521c156,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000027.jpg,deepfashion-84ccc3f0d57b667c,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000028.jpg,deepfashion-159d0e68d82b6bf6,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000029.jpg,deepfashion-92e653e5079c3dc1,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000030.jpg,deepfashion-740f95f9d3c3fb64,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000031.jpg,deepfashion-22835b05f73172d0,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000032.jpg,deepfashion-f1e4b49755e460e6,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000033.jpg,deepfashion-b8aed88febd27c66,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
deepfashion_category/img/1981_Graphic_Ringer_Tee/img_00000034.jpg,deepfashion-dcf1fe93917c51f6,deepfashion_actual_images,non_commercial_research_only_deepfashion,t-shirt,1981 Graphic Ringer Tee,,DeepFashion t-shirt: 1981 Graphic Ringer Tee.,
